contestId,contestName,handle,rank,ratingUpdateTimeSeconds,oldRating,newRating
1935,Codeforces Round 932 (Div. 2),k1nsom,3624,1709656500,0,534
1941,Codeforces Round 933 (Div. 3),k1nsom,1051,1710175800,534,951
1944,Codeforces Round 934 (Div. 2),k1nsom,6773,1710608400,951,1116
1945,Codeforces Round 935 (Div. 3),k1nsom,368,1710843600,1116,1373
1946,Codeforces Round 936 (Div. 2),k1nsom,1837,1711125300,1373,1515
1942,"CodeTON Round 8 (Div. 1 + Div. 2, Rated, Prizes!)",k1nsom,4303,1711820100,1515,1524
1951,Codeforces Global Round 25,k1nsom,1167,1712424900,1524,1639
1972,Codeforces Round 942 (Div. 2),k1nsom,756,1714496700,1639,1685
1973,Codeforces Round 945 (Div. 2),k1nsom,2324,1715963700,1685,1659
1975,Codeforces Round 947 (Div. 1 + Div. 2),k1nsom,1265,1716658500,1659,1716
1977,Codeforces Round 948 (Div. 2),k1nsom,360,1716741300,1716,1808
1976,Educational Codeforces Round 166 (Rated for Div. 2),k1nsom,5297,1717086900,1808,1704
1981,Codeforces Round 949 (Div. 2),k1nsom,431,1717157100,1704,1780
1979,Codeforces Round 951 (Div. 2),k1nsom,2763,1717691700,1780,1731
1984,Codeforces Global Round 26,k1nsom,2404,1717954500,1731,1716
1991,Pinely Round 4 (Div. 1 + Div. 2),k1nsom,742,1722188100,1716,1831
2004,Educational Codeforces Round 169 (Rated for Div. 2),k1nsom,252,1723739700,1831,1927
