id,creationTimeSeconds,commentatorHandle,locale,text,rating
1214474,1730481961,YouKnowCipher,en,"<div class=""ttypography""><p>Looking forward to Round 984. Let’s have a good contest. Good luck, everyone!</p></div>",1
1214477,1730482038,IceHydra,en,"<div class=""ttypography""><p>As a tester i almost became a tester and I am happy about it.</p></div>",12
1214480,1730482173,NicoLadendorf,en,"<div class=""ttypography""><p>As a non-tester, I did not test it.</p></div>",0
1214486,1730482406,justlm,en,"<div class=""ttypography""><p>as a tester, i can assure you that these problems are, indeed, problems!</p></div>",25
1214492,1730482744,_Robi,en,"<div class=""ttypography""><p>As a !tester I think you will like the problem sets</p></div>",-3
1214515,1730483843,Ayis137,en,"<div class=""ttypography""><p>Even though I will be considered a trusted participant, when I'm trying to register, it says, &quot;You are registering &quot;out of competition&quot; reason: rating should be between 0 and 1,599 in order to register for the contest.&quot; Why is it so?</p></div>",-3
1214520,1730484234,justlm,en,"<div class=""ttypography""><p>your rating is $$$\ge 1600$$$, so you are an unrated participant</p></div>",2
1214524,1730484353,Ayis137,en,"<div class=""ttypography""><p>Then what about the trusted participant thing mentioned in 3rd paragraph? More than 5 contests and &lt;1900</p></div>",0
1214529,1730484484,IceHydra,en,"<div class=""ttypography""><p>About the results table of the round.</p></div>",-2
1214552,1730485980,itz_pabloo,en,"<div class=""ttypography""><p>as a tester, i want to sleep, i hope you enjoy the tasks</p></div>",1
1214566,1730487823,ko0g,en,"<div class=""ttypography""><p>hope to <em>enjoy</em> this round</p></div>",0
1214568,1730487920,CS_MAXCODER,en,"<div class=""ttypography""><p>what is the difference between div1, div2 and div3? Is it only the level of difficulty?</p></div>",0
1214571,1730488621,eugenechka.boyko.2_0-0,en,"<div class=""ttypography""><p>we hope so too:D</p></div>",4
1214583,1730490452,AkiLotus,en,"<div class=""ttypography""><p>The max rating not at 1900 or higher imo is to cross out the scenario that someone already participated a lot and had a high skill ceiling that purposely threw their ratings down to oblivion just to be rated in Div3/Div4.</p><p>In short, preventing smurfing from legit/long-reputated account.</p></div>",12
1214589,1730490721,SaveliyIsaev,en,"<div class=""ttypography""><p>Finally! An adequate round without pendochinese authors! </p><p>With love to my kittens</p></div>",-11
1214590,1730490768,IceHydra,en,"<div class=""ttypography""><p>But in fact, unrated participation is a way to increase your rating on your second accounts. So, we already have a lot of cheaters.</p></div>",-3
1214591,1730490872,AkiLotus,en,"<div class=""ttypography""><p>True. Honestly those measures hold more to the moral ground than actual enforcement. That's something, but not perfect.</p></div>",-3
1214596,1730491765,IceHydra,en,"<div class=""ttypography""><p>I pray that we will not have an unrated parc. in div2/div1.</p></div>",5
1214599,1730492019,IceHydra,en,"<div class=""ttypography""><p>But we can do something like you can't create more than 1/2 accounts from 1 mac-adress.</p></div>",5
1214600,1730492047,IceHydra,en,"<div class=""ttypography""><p>that will be cool</p></div>",0
1214604,1730492894,nik_exists,en,"<div class=""ttypography""><p>Yes, div1 is the hardest, div2 is slightly easier (often, div 2 contests run in conjunction with div1 contests, where the div 1 contest starts with the div 2 C problem), then div 3 is easier (I'd say div 3 E is equal to div 2 C in a lot of cases), then div 4 contests (which aren't as common) are the easiest</p></div>",1
1214605,1730493124,ice3y,en,"<div class=""ttypography""><p>promlems❌ problems✅</p></div>",0
1214608,1730494932,m3tr0,en,"<div class=""ttypography""><p>thanks</p></div>",0
1214616,1730499253,CurtKobain,en,"<div class=""ttypography""><p>hi guys i want dat delta tomorrow watch me ok i become the 500 rated directly or maybe 600 as well please watch ok ok i am curt btw i am</p></div>",0
1214623,1730500972,jainrishab26121,en,"<div class=""ttypography""><p>As a time traveller, this round is going to be historic. Also, the replies to this comment will be filled with &quot;this aged like milk&quot; after the contest. Good Luck!</p></div>",0
1214629,1730502565,maxrgby,en,"<div class=""ttypography""><p>You, sir, are a genius.</p></div>",0
1214643,1730508575,jainrishab26121,en,"<div class=""ttypography""><p>nah, I am just a sleep deprived a-hole.</p></div>",0
1214679,1730522414,Paulieaditya,en,"<div class=""ttypography""><p>aiming for pupil this round</p></div>",0
1214682,1730522957,VuDinhLongg,en,"<div class=""ttypography""><p>No interactive problems pls T_T</p></div>",3
1214698,1730527671,ItsAJHarsh,en,"<div class=""ttypography""><p>Good luck everyone :)</p></div>",0
1214707,1730531066,CS_MAXCODER,en,"<div class=""ttypography""><p>thanks...</p></div>",0
1214714,1730532433,SaveliyIsaev,en,"<div class=""ttypography""><p>I SHALL RETURN SPECIALIST</p></div>",0
1214717,1730535268,Ghost_freak05,en,"<div class=""ttypography""><p>Hope to be expert soon.</p></div>",4
1214723,1730537190,deepdblm,en,"<div class=""ttypography""><p>Guys, can someone please provide me the standard template for an interactive problem, it would be of great help.</p></div>",0
1214729,1730540578,SkibidiPilav,en,"<div class=""ttypography""><p>Why would you need a template, just remove the fastIO part of your template and thats it. You can also make a ask function, so you dont have to type out the interactions, but thats it. Also dont use endl in your normal code, use \n, its much faster.</p></div>",0
1214730,1730541072,hoangphucnguyen,en,"<div class=""ttypography""><p>Let's go!, div 3 is good for me</p></div>",-1
1214738,1730546959,deepdblm,en,"<div class=""ttypography""><p>Thanks Brother, can you just explain why to remove the FastIO part?</p></div>",0
1214739,1730547089,SkibidiPilav,en,"<div class=""ttypography""><p>since it messes with the input and output and puts everything at the end, you cant interact properly with the system because you cant output the questions in the middle of your code</p></div>",0
1214774,1730553480,mhmohamed977,en,"<div class=""ttypography""><p>wish to be pupil after this round.</p></div>",3
1214775,1730553513,Alenygam,en,"<div class=""ttypography""><p>As a contestant, I hope I don't make stupid mistakes.</p></div>",3
1214779,1730554152,TCS_Bhediya,en,"<div class=""ttypography""><p>++</p></div>",3
1214792,1730555697,LovelyMicas,en,"<div class=""ttypography""><p>I hope too.</p></div>",0
1214802,1730556677,sarvagya2545,en,"<div class=""ttypography""><p>Can't you just use cout.flush() after every output in cpp along with the fastio part?</p></div>",0
1214803,1730556750,PaciukZvichainyi,en,"<div class=""ttypography""><p>As a F1 fan I hope Norris wins the sprint race while I AC div3.</p> <div class=""spoiler""><b class=""spoiler-title"">Spoiler</b><div class=""spoiler-content"" style=""display: none;""><p>I will not solve 7th problem and Piastri will not let Norris pass. </p></div></div></div>",-1
1214804,1730556790,SkibidiPilav,en,"<div class=""ttypography""><p>yea, i think you can, but that makes the output the same speed as if you didnt have fastio, and also you have to constantly put flush after every cout, which is a hassle imo</p></div>",0
1214806,1730556894,Saiful_alam105,en,"<div class=""ttypography""><p>Currently I'm facing some problem in my account. I couldn't see the implementation to anyone else's code. Codeforces shows me N/A. How to solve this issue.. Can anyone help me?</p></div>",-3
1214807,1730556922,sarvagya2545,en,"<div class=""ttypography""><p>If you put your inputs and outputs in a single function and use them then there won't be any hassle.</p><p>E.g. query and output functions in <a href=""/contest/2032/submission/289277508"" title=""Submission 289277508 by sarvagya2545"">289277508</a></p></div>",0
1214816,1730557727,Ibad_gau,en,"<div class=""ttypography""><p>I'm new to Codeforces. Is this contest useful for me?</p></div>",6
1214817,1730557731,RE_Prince,en,"<div class=""ttypography""><p>specialist plssssssss codeforces</p></div>",0
1214818,1730557842,negative___iq,en,"<div class=""ttypography""><p>You have not made a submission on a single contest that you registered in, you cannot view other's codes. I do not know why.</p></div>",0
1214826,1730559906,Skhanhphat,en,"<div class=""ttypography""><p>Where can I read editorials for the contest?</p></div>",0
1214828,1730560472,Agarwal,en,"<div class=""ttypography""><p>I hate Div3...</p></div>",-12
1214842,1730565067,_crow_,en,"<div class=""ttypography""><p>I hate C</p></div>",-12
1214844,1730565169,retard.,en,"<div class=""ttypography""><p>I've enjoyed F, cool problem, thank you.</p></div>",19
1214847,1730565509,elseecay,en,"<div class=""ttypography""><p>nice tasks</p></div>",17
1214850,1730566113,Saivishwas,en,"<div class=""ttypography""><p>implementation forces</p></div>",7
1214851,1730566139,eugenechka.boyko.2_0-0,en,"<div class=""ttypography""><p>we will try to do the editorials as soon as possible, it will appear in the announcement</p></div>",0
1214852,1730566157,louisjohns32,en,"<div class=""ttypography""><p>i made so many tiny errors costing me like 30mins total. so much implementation for this contest</p></div>",0
1214853,1730566199,eugenechka.boyko.2_0-0,en,"<div class=""ttypography""><p>we are very glad:D</p></div>",2
1214854,1730566202,Shoeib,en,"<div class=""ttypography""><p>What is the purpose of problems like D?</p></div>",12
1214856,1730566243,hg3141,en,"<div class=""ttypography""><p>implementation practice ig</p></div>",7
1214859,1730566322,sashshaikh12,en,"<div class=""ttypography""><p>i felt the same, the contest was so much implementation based. i just couldnt implement D</p></div>",2
1214860,1730566375,Vector.Li,en,"<div class=""ttypography""><p>It is possible to code D neatly, my code isn't heavy to implement.</p><p>CODE: <a href=""https://codeforces.com/contest/2036/submission/289531869"">289531869</a></p></div>",9
1214862,1730566400,itsraajjjuuuu,en,"<div class=""ttypography""><p>problem D description could have been better ngl I spent first 1 hour on problem reading question wrong this layer thing could be highlighted instead of writtenn in small font I though you have to traverse clockwise on every cell smh</p></div>",2
1214863,1730566406,Saivishwas,en,"<div class=""ttypography""><p>Me after reading D: wtf is this!</p></div>",1
1214867,1730566495,bacxiuda,en,"<div class=""ttypography""><p>I hate it when the time limit for problem F is 1 second</p></div>",5
1214868,1730566503,Ariful_Islam_00,en,"<div class=""ttypography""><p>woah!!</p></div>",0
1214869,1730566533,Aditya_Metkar,en,"<div class=""ttypography""><p>For Problem-E, how to reduce the time complexity? <br /> My current Implementation gives me TLE <br /></p><p>Each Query * Each Country * Each Region (q*n*k) </p><p><a href=""https://codeforces.com/contest/2036/submission/289593372"">CODE</a></p></div>",0
1214870,1730566547,PaciukZvichainyi,en,"<div class=""ttypography""><p>How is this even possible in problem G?</p><p><a href=""https://codeforces.com/contest/2036/submission/289598032"">submission</a></p> <pre><code>    assert!(first != second &amp;&amp; second != third &amp;&amp; first != third);
    assert!(ask(io, first, first) != 0);
    assert!(ask(io, second, second) != 0);
    assert!(ask(io, third, third) != 0);
    assert!(first &lt;= n &amp;&amp; second &lt;= n &amp;&amp; third &lt;= n);
    assert!(first &gt;= 1 &amp;&amp; second &gt;= 1 &amp;&amp; third &gt;= 1);
</code></pre><p>Basically I check that my answer satisfies all condition, but I still got WA2. In rust asserts work in release code too, so I'd expect RE if my answer is wrong. Am i dumb?</p></div>",-1
1214871,1730566558,Siddhartha_Bose_,en,"<div class=""ttypography""><p>Tried so hard,</p><p>Got so Far,</p><p>But in the End,</p><p>got 6k rank .....</p></div>",2
