id,creationTimeSeconds,hacker,defender,verdict,problem,judgeProtocol
369625,1510247208,"{'contestId': 888, 'members': [{'handle': 'armoking'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1510239900}","{'contestId': 888, 'members': [{'handle': 'armoking'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1510239900}",HACK_UNSUCCESSFUL,"{'contestId': 888, 'index': 'D', 'name': 'Almost Identity Permutations', 'type': 'PROGRAMMING', 'rating': 1600, 'tags': ['combinatorics', 'dp', 'math']}","{'manual': 'false', 'protocol': 'Solution verdict:\nOK\n\nChecker:\nok 1 number(s): ""24""\r\n\n\nInput:\n4 4\r\n\n\nOutput:\n24\n\nAnswer:\n24\r\n\n\nTime:\n15\n\nMemory:\n0\n', 'verdict': 'Unsuccessful hacking attempt'}"
369626,1510247214,"{'contestId': 888, 'members': [{'handle': 'andreumat'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1510239900}","{'contestId': 888, 'members': [{'handle': 'zencoder07'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1510239900}",INVALID_INPUT,"{'contestId': 888, 'index': 'B', 'name': 'Buggy Robot', 'type': 'PROGRAMMING', 'rating': 1000, 'tags': ['greedy']}","{'manual': 'false', 'protocol': 'Validator \'val.exe\' returns exit code 3 [FAIL Expected integer, but ""LLRRUUUDDDLLLLL"" found (stdin)]', 'verdict': 'Invalid input'}"
369627,1510247224,"{'contestId': 888, 'members': [{'handle': 'ifrag'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1510239900}","{'contestId': 888, 'members': [{'handle': 'LeCaRiBoU'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1510239900}",INVALID_INPUT,"{'contestId': 888, 'index': 'B', 'name': 'Buggy Robot', 'type': 'PROGRAMMING', 'rating': 1000, 'tags': ['greedy']}","{'manual': 'false', 'protocol': 'Validator \'val.exe\' returns exit code 3 [FAIL Expected integer, but ""0RUDUDRLUURDRDDRLRLLDL....LLURRLUUULDLURUUULDRURDRLDRDLLR"" found (stdin)]', 'verdict': 'Invalid input'}"
369628,1510247227,"{'contestId': 888, 'members': [{'handle': 'wakax365'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1510239900}","{'contestId': 888, 'members': [{'handle': 'frank_expert'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1510239900}",HACK_UNSUCCESSFUL,"{'contestId': 888, 'index': 'C', 'name': 'K-Dominant Character', 'type': 'PROGRAMMING', 'rating': 1400, 'tags': ['binary search', 'implementation', 'two pointers']}","{'manual': 'false', 'protocol': 'Solution verdict:\nOK\n\nChecker:\nok 1 number(s): ""1""\r\n\n\nInput:\na\r\n\n\nOutput:\n1\r\n\n\nAnswer:\n1\r\n\n\nTime:\n15\n\nMemory:\n4096\n', 'verdict': 'Unsuccessful hacking attempt'}"
369629,1510247282,"{'contestId': 888, 'members': [{'handle': 'ifrag'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1510239900}","{'contestId': 888, 'members': [{'handle': 'LeCaRiBoU'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1510239900}",HACK_UNSUCCESSFUL,"{'contestId': 888, 'index': 'B', 'name': 'Buggy Robot', 'type': 'PROGRAMMING', 'rating': 1000, 'tags': ['greedy']}","{'manual': 'false', 'protocol': 'Solution verdict:\nOK\n\nChecker:\nok 1 number(s): ""74""\r\n\n\nInput:\n83\r\nRUDUDRLUURDRDDRLRLLDLDURRRDDDURRRUDULDRUUUDLURLDRURDLLURRLUUULDLURUUULDRURDRLDRDLLR\r\n\n\nOutput:\n74\n\nAnswer:\n74\r\n\n\nTime:\n15\n\nMemory:\n4096\n', 'verdict': 'Unsuccessful hacking attempt'}"
369630,1510247286,"{'contestId': 888, 'members': [{'handle': 'wakax365'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1510239900}","{'contestId': 888, 'members': [{'handle': 'chisanbop'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1510239900}",HACK_SUCCESSFUL,"{'contestId': 888, 'index': 'C', 'name': 'K-Dominant Character', 'type': 'PROGRAMMING', 'rating': 1400, 'tags': ['binary search', 'implementation', 'two pointers']}","{'manual': 'false', 'protocol': 'Solution verdict:\nWRONG_ANSWER\n\nChecker:\nwrong answer Answer contains longer sequence [length = 1], but output contains 0 elements\r\n\n\nInput:\na\r\n\n\nOutput:\n\n\nAnswer:\n1\r\n\n\nTime:\n15\n\nMemory:\n0\n', 'verdict': 'Successful hacking attempt'}"
369631,1510247300,"{'contestId': 888, 'members': [{'handle': 'Ulugbek_ABDIMANABOV'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1510239900}","{'contestId': 888, 'members': [{'handle': 'Davron_TB'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1510239900}",HACK_UNSUCCESSFUL,"{'contestId': 888, 'index': 'B', 'name': 'Buggy Robot', 'type': 'PROGRAMMING', 'rating': 1000, 'tags': ['greedy']}","{'manual': 'false', 'protocol': 'Solution verdict:\nOK\n\nChecker:\nok 1 number(s): ""8""\r\n\n\nInput:\n8\r\nLLRRUUDD\r\n\n\nOutput:\n8\n\nAnswer:\n8\r\n\n\nTime:\n15\n\nMemory:\n4096\n', 'verdict': 'Unsuccessful hacking attempt'}"
369632,1510247315,"{'contestId': 888, 'members': [{'handle': 'wakax365'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1510239900}","{'contestId': 888, 'members': [{'handle': 'WillWang98'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1510239900}",HACK_UNSUCCESSFUL,"{'contestId': 888, 'index': 'C', 'name': 'K-Dominant Character', 'type': 'PROGRAMMING', 'rating': 1400, 'tags': ['binary search', 'implementation', 'two pointers']}","{'manual': 'false', 'protocol': 'Solution verdict:\nOK\n\nChecker:\nok 1 number(s): ""1""\r\n\n\nInput:\na\r\n\n\nOutput:\n1\r\n\n\nAnswer:\n1\r\n\n\nTime:\n0\n\nMemory:\n245760\n', 'verdict': 'Unsuccessful hacking attempt'}"
369633,1510247322,"{'contestId': 888, 'members': [{'handle': 'armoking'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1510239900}","{'contestId': 888, 'members': [{'handle': 'LHiC'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1510239900}",HACK_UNSUCCESSFUL,"{'contestId': 888, 'index': 'D', 'name': 'Almost Identity Permutations', 'type': 'PROGRAMMING', 'rating': 1600, 'tags': ['combinatorics', 'dp', 'math']}","{'manual': 'false', 'protocol': 'Solution verdict:\nOK\n\nChecker:\nok 1 number(s): ""24""\r\n\n\nInput:\n4 4\r\n\n\nOutput:\n24\r\n\n\nAnswer:\n24\r\n\n\nTime:\n0\n\nMemory:\n0\n', 'verdict': 'Unsuccessful hacking attempt'}"
369634,1510247323,"{'contestId': 888, 'members': [{'handle': 'Ashkan_Zarkhah'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1510239900}","{'contestId': 888, 'members': [{'handle': '4l5n3'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1510239900}",INVALID_INPUT,"{'contestId': 888, 'index': 'D', 'name': 'Almost Identity Permutations', 'type': 'PROGRAMMING', 'rating': 1600, 'tags': ['combinatorics', 'dp', 'math']}","{'manual': 'false', 'protocol': ""Validator 'val.exe' returns exit code 3 [FAIL Integer parameter [name=n] equals to 1, violates the range [4, 1000] (stdin)]"", 'verdict': 'Invalid input'}"
