contestId,index,solvedCount
2052,M,203
2052,L,57
2052,K,53
2052,J,633
2052,I,56
2052,H,24
2052,G,94
2052,F,1153
2052,E,747
2052,D,521
2052,C,16
2052,B,249
2052,A,1406
2051,G,1089
2051,F,2084
2051,E,6488
2051,D,14141
2051,C,17653
2051,B,24942
2051,A,24332
2050,G,3120
2050,F,5689
2050,E,8687
2050,D,12546
2050,C,16389
2050,B,19231
2050,A,27549
2049,F,241
2049,E,861
2049,D,3370
2049,C,8362
2049,B,12198
2049,A,17545
2048,I2,12
2048,I1,42
2048,H,106
2048,G,339
2048,F,759
2048,E,2247
2048,D,5673
2048,C,10784
2048,B,15012
2048,A,17615
2047,B,12317
2047,A,13080
2046,F2,30
2046,F1,48
2046,E2,29
2046,E1,115
2046,D,211
2046,C,1514
2046,B,6669
2046,A,10895
2045,M,1071
2045,L,71
2045,K,43
2045,J,181
2045,I,684
2045,H,412
2045,G,478
2045,F,60
2045,E,143
2045,D,23
2045,C,2859
2045,B,820
2045,A,1254
2044,H,1206
2044,G2,1843
2044,G1,3973
2044,F,3215
2044,E,11463
2044,D,16268
2044,C,30323
2044,B,32263
2044,A,34898
2043,G,80
2043,F,414
2043,E,881
2043,D,4129
2043,C,6231
2043,B,14570
2043,A,18791
2042,F,515
2042,E,317
2042,D,3147
2042,C,6153
2042,B,14279
2042,A,16489
2041,N,20
2041,M,784
2041,L,30
2041,K,46
2041,J,112
2041,I,428
2041,H,551
2041,G,31
2041,F,312
2041,E,5057
2041,D,1588
2041,C,1136
2041,B,4102
2041,A,6413
2040,F,218
2040,E,1627
2040,D,3826
2040,C,7299
2040,B,16912
2040,A,19464
2039,H2,43
2039,H1,64
2039,G,41
2039,F2,168
2039,F1,320
2039,E,1803
2039,D,4954
2039,C2,3781
2039,C1,9738
2039,B,12387
2039,A,14928
2038,N,8393
2038,M,227
2038,L,4707
2038,K,1196
2038,J,6486
2038,I,553
2038,H,107
2038,G,2053
2038,F,367
2038,E,113
2038,D,586
2038,C,4079
