contestId,index,name,type,points,tags,rating
2053,I2,Affectionate Arrays (Hard Version),PROGRAMMING,2000.0,"['data structures', 'dp', 'graphs', 'greedy', 'math', 'shortest paths', 'two pointers']",
2053,I1,Affectionate Arrays (Easy Version),PROGRAMMING,3000.0,"['data structures', 'dp', 'greedy']",
2053,H,Delicate Anti-monotonous Operations,PROGRAMMING,4500.0,"['constructive algorithms', 'implementation']",
2053,G,Naive String Splits,PROGRAMMING,4250.0,"['binary search', 'brute force', 'greedy', 'hashing', 'math', 'number theory', 'strings']",
2053,F,Earnest Matrix Complement,PROGRAMMING,2500.0,"['brute force', 'data structures', 'dp', 'greedy', 'implementation', 'math']",
2053,E,Resourceful Caterpillar Sequence,PROGRAMMING,2000.0,"['dfs and similar', 'dp', 'games', 'graphs', 'greedy', 'trees']",
2053,D,Refined Product Optimality,PROGRAMMING,1750.0,"['binary search', 'data structures', 'greedy', 'math', 'schedules', 'sortings']",
2053,C,Bewitching Stargazer,PROGRAMMING,1250.0,"['bitmasks', 'divide and conquer', 'dp', 'math']",
2053,B,Outstanding Impressionist,PROGRAMMING,1000.0,"['binary search', 'brute force', 'data structures', 'greedy']",
2053,A,Tender Carpenter,PROGRAMMING,500.0,"['dp', 'geometry', 'greedy', 'math']",
2052,M,Managing Cluster,PROGRAMMING,,"['dp', 'graphs', 'math', 'trees']",2700
2052,L,Legacy Screensaver,PROGRAMMING,,[],2900
2052,K,Knowns and Unknowns,PROGRAMMING,,[],2800
2052,J,Judicious Watching,PROGRAMMING,,"['binary search', 'greedy', 'sortings']",2000
2052,I,Incompetent Delivery Guy,PROGRAMMING,,"['graphs', 'shortest paths']",2800
2052,H,Hunting Hoglins in Hogwarts,PROGRAMMING,,['interactive'],3500
2052,G,Geometric Balance,PROGRAMMING,,"['data structures', 'geometry', 'implementation']",2800
2052,F,Fix Flooded Floor,PROGRAMMING,,"['constructive algorithms', 'dp', 'graphs']",1700
2052,E,Expression Correction,PROGRAMMING,,"['brute force', 'expression parsing', 'strings']",1900
2052,D,DAG Serialization,PROGRAMMING,,"['brute force', 'graphs']",2100
2052,C,Cactus without Bridges,PROGRAMMING,,"['constructive algorithms', 'math']",3500
2052,B,BitBitJump,PROGRAMMING,,[],2400
2052,A,Adrenaline Rush,PROGRAMMING,,['constructive algorithms'],1600
2051,G,Snakes,PROGRAMMING,,"['bitmasks', 'dp', 'dsu', 'graphs']",
2051,F,Joker,PROGRAMMING,,"['brute force', 'greedy', 'implementation', 'math']",
2051,E,Best Price,PROGRAMMING,,"['binary search', 'brute force', 'data structures', 'greedy', 'sortings']",
2051,D,Counting Pairs,PROGRAMMING,,"['binary search', 'sortings', 'two pointers']",
2051,C,Preparing for the Exam,PROGRAMMING,,"['constructive algorithms', 'implementation']",
2051,B,Journey,PROGRAMMING,,"['binary search', 'math']",
2051,A,Preparing for the Olympiad,PROGRAMMING,,['greedy'],
