id,contestId,creationTimeSeconds,relativeTimeSeconds,problem,author,programmingLanguage,verdict,testset,passedTestCount,timeConsumedMillis,memoryConsumedBytes
299051627,2052,1735554090,2147483647,"{'contestId': 2052, 'index': 'A', 'name': 'Adrenaline Rush', 'type': 'PROGRAMMING', 'rating': 1600, 'tags': ['constructive algorithms']}","{'contestId': 2052, 'members': [{'handle': 'Jiangnan111'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1734248100}",C++20 (GCC 13-64),OK,TESTS,54,155,22630400
298872619,2053,1735403448,6948,"{'contestId': 2053, 'index': 'E', 'name': 'Resourceful Caterpillar Sequence', 'type': 'PROGRAMMING', 'points': 2000.0, 'tags': ['dfs and similar', 'dp', 'games', 'graphs', 'greedy', 'trees']}","{'contestId': 2053, 'members': [{'handle': 'Jiangnan111'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 377, 'startTimeSeconds': 1735396500}",C++20 (GCC 13-64),OK,TESTS,32,515,31846400
298841744,2053,1735399278,2778,"{'contestId': 2053, 'index': 'D', 'name': 'Refined Product Optimality', 'type': 'PROGRAMMING', 'points': 1750.0, 'tags': ['binary search', 'data structures', 'greedy', 'math', 'schedules', 'sortings']}","{'contestId': 2053, 'members': [{'handle': 'Jiangnan111'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 377, 'startTimeSeconds': 1735396500}",C++20 (GCC 13-64),OK,TESTS,14,671,3481600
298827896,2053,1735397955,1455,"{'contestId': 2053, 'index': 'C', 'name': 'Bewitching Stargazer', 'type': 'PROGRAMMING', 'points': 1250.0, 'tags': ['bitmasks', 'divide and conquer', 'dp', 'math']}","{'contestId': 2053, 'members': [{'handle': 'Jiangnan111'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 377, 'startTimeSeconds': 1735396500}",C++20 (GCC 13-64),OK,TESTS,10,108,0
298818345,2053,1735397280,780,"{'contestId': 2053, 'index': 'B', 'name': 'Outstanding Impressionist', 'type': 'PROGRAMMING', 'points': 1000.0, 'tags': ['binary search', 'brute force', 'data structures', 'greedy']}","{'contestId': 2053, 'members': [{'handle': 'Jiangnan111'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 377, 'startTimeSeconds': 1735396500}",C++20 (GCC 13-64),OK,TESTS,10,218,9932800
298809438,2053,1735396750,250,"{'contestId': 2053, 'index': 'A', 'name': 'Tender Carpenter', 'type': 'PROGRAMMING', 'points': 500.0, 'tags': ['dp', 'geometry', 'greedy', 'math']}","{'contestId': 2053, 'members': [{'handle': 'Jiangnan111'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 377, 'startTimeSeconds': 1735396500}",C++20 (GCC 13-64),OK,TESTS,5,62,0
298297406,2043,1735057982,7082,"{'contestId': 2043, 'index': 'E', 'name': 'Matrix Transformation', 'type': 'PROGRAMMING', 'tags': ['bitmasks', 'brute force', 'data structures', 'dfs and similar', 'graphs', 'greedy', 'implementation']}","{'contestId': 2043, 'members': [{'handle': 'Jiangnan111'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1735050900}",C++20 (GCC 13-64),WRONG_ANSWER,TESTS,1,155,40960000
298296531,2043,1735057927,7027,"{'contestId': 2043, 'index': 'E', 'name': 'Matrix Transformation', 'type': 'PROGRAMMING', 'tags': ['bitmasks', 'brute force', 'data structures', 'dfs and similar', 'graphs', 'greedy', 'implementation']}","{'contestId': 2043, 'members': [{'handle': 'Jiangnan111'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1735050900}",C++20 (GCC 13-64),WRONG_ANSWER,TESTS,1,62,40960000
298252581,2043,1735054475,3575,"{'contestId': 2043, 'index': 'D', 'name': 'Problem about GCD', 'type': 'PROGRAMMING', 'tags': ['brute force', 'flows', 'math', 'number theory']}","{'contestId': 2043, 'members': [{'handle': 'Jiangnan111'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1735050900}",C++20 (GCC 13-64),OK,TESTS,27,93,102400
298244789,2043,1735053896,2996,"{'contestId': 2043, 'index': 'D', 'name': 'Problem about GCD', 'type': 'PROGRAMMING', 'tags': ['brute force', 'flows', 'math', 'number theory']}","{'contestId': 2043, 'members': [{'handle': 'Jiangnan111'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1735050900}",C++20 (GCC 13-64),WRONG_ANSWER,TESTS,2,46,0
